,tag,text_message
0,0,hope you are having a good week. just checking in
1,0,k  give back my thanks 
2,0,am also doing in cbe only  but have to pay 
3,1,complimentary 4 star ibiza holiday or £10 000 cash needs your urgent collection  09066364349 now from landline not to lose out  box434sk38wp150ppm18 
4,1,okmail  dear dave this is your final notice to collect your 4  tenerife holiday or  5000 cash award  call 09061743806 from landline  tcs sae box326 cw25wx 150ppm
5,0,aiya we discuss later lar    pick u up at 4 is it 
6,0,are you this much buzy
7,0,please ask mummy to call father
8,1,marvel mobile play the official ultimate spider man game  £4 50  on ur mobile right now  text spider to 83338 for the game   we ll send u a free 8ball wallpaper
9,0,fyi i m at usf now  swing by the room whenever
10,0,sure thing big man  i have hockey elections at 6  shouldn€˜t go on longer than an hour though
11,0,i anything lor   
12,0,by march ending  i should be ready  but will call you for sure  the problem is that my capital never complete  how far with you  how s work and the ladies
13,0,hmm well  night night 
14,0,k i ll be sure to get up before noon and see what s what
15,0,ha ha cool cool chikku chikku     db  
16,0,darren was saying dat if u meeting da ge den we dun meet 4 dinner  cos later u leave xy will feel awkward  den u meet him 4 lunch lor 
17,0,he dint tell anything  he is angry on me that why you told to abi 
18,0,up to u    u wan come then come lor    but i din c any stripes skirt   
19,1,u can win £100 of music gift vouchers every week starting now txt the word draw to 87066 tscs www ldew com skillgame 1winaweek  age16 150ppermesssubscription
20,0,2mro i am not coming to gym machan  goodnight 
21,0,arr birthday today   i wish him to get more oscar 
22,0,reading gud habit   nan bari hudgi yorge pataistha ertini kano   
23,0,i sent my scores to sophas and i had to do secondary application for a few schools  i think if you are thinking of applying  do a research on cost also  contact joke ogunrinde  her school is one me the less expensive ones
24,0,could you not read me  my love   i answered you
25,0,so what did the bank say about the money 
26,0,well if i m that desperate i ll just call armand again
27,0,fuuuuck i need to stop sleepin  sup
28,0,so how s the weather over there 
29,0,ok thanx   
30,0,ok ok ok  then  whats ur todays plan
31,0,1apple day no doctor  1tulsi leaf day no cancer  1lemon day no fat  1cup milk day no bone problms 3 litres watr day no diseases snd ths 2 whom u care     
32,0,sorry  i ll call later
33,0,will do  was exhausted on train this morning  too much wine and pie  you sleep well too
34,1,u have won a nokia 6230 plus a free digital camera  this is what u get when u win our free auction  to take part send nokia to 83383 now  pobox114 14tcr w1 16
35,0,ron say fri leh  n he said ding tai feng cant make reservations  but he said wait lor 
36,0,call me when you carlos is are here  my phone s vibrate is acting up and i might not hear texts
37,0,oh k   why you got job then whats up 
38,1,spjanuary male sale  hot gay chat now cheaper  call 08709222922  national rate from 1 5p min cheap to 7 8p min peak  to stop texts call 08712460324  10p min 
39,0,yeah you should  i think you can use your gt atm now to register  not sure but if there s anyway i can help let me know  but when you do be sure you are ready 
40,0,nationwide auto centre  or something like that  on newport road  i liked them there
41,0,he is there  you call and meet him
42,0,yeah sure i ll leave in a min
43,1,urgent  your mobile number has been awarded with a £2000 prize guaranteed  call 09061790121 from land line  claim 3030  valid 12hrs only 150ppm
44,0,mah b  i ll pick it up tomorrow
45,0,then she dun believe wat 
46,0,i ve sent u my part  
47,0,hey so whats the plan this sat  
48,0,can you just come in for a sec  there s somebody here i want you to see
49,0,yup  izzit still raining heavily cos i m in e mrt i can t c outside 
50,0,i think we re going to finn s now  come
51,0,our prasanth ettans mother passed away last night  just pray for her and family 
52,0,enjoy the showers of possessiveness poured on u by ur loved ones  bcoz in this world of lies  it is a golden gift to be loved truly  
53,0,he s really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages all over his arms every five minutes
54,0,you please give us connection today itself before  decimal  or refund the bill
55,1,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed   free entry 2 100 wkly draw txt music to 87066 tncs www ldew com1win150ppmx3age16
56,0,mum not going robinson already 
57,0,got meh    when 
58,0,we are both fine  thanks
59,0,awesome  how do i deal with the gate  charles told me last night but  uh  yeah
60,0,i thought i d get him a watch  just cos thats the kind of thing u get4an18th  and he loves so much 
61,0,have a safe trip to nigeria  wish you happiness and very soon company to share moments with
62,0,hey  do u fancy meetin me at 4 at cha – hav a lil beverage on me  if not txt or ring me and we can meet up l8r  quite tired got in at 3 v pist    love pete x x x
63,0,no  i  didn t  mean to post it  i wrote it  and like so many other times i ve ritten stuff to you  i let it sit there  it was what i was feeling at the time  i was angry  before i left  i hit send  then stop  it wasn t there  i checked on my phone when i got to my car  it wasn t there  you said you didn t sleep  you were bored  so why wouldn t that be the time to clean  fold laundry  etc   at least make the bed 
64,0,if you want to mapquest it or something look up usf dogwood drive  that s the tiny street where the parking lot is
65,0,ha ha nan yalrigu heltini  iyo kothi chikku  u shared many things wit me  so far i didn t told any body and even uttered a word abt u   if ur trusting me so much how can i tell these to others   plz nxt time dont use those words to me  ok  chikku      b  
66,0,becoz its     jan whn al the post ofice is in holiday so she cn go fr the post ofice   got it duffer
67,0,good  do you think you could send me some pix  i would love to see your top and bottom   
68,0,beautiful truth against gravity   read carefully  our heart feels light when someone is in it   but it feels very heavy when someone leaves it   good night
69,0,buzz  hey  my love   i think of you and hope your day goes well  did you sleep in   i miss you babe  i long for the moment we are together again loving smile 
70,0,lara said she can loan me     
71,0,dunno leh cant remember mayb lor  so wat time r we meeting tmr 
72,0,so wats ur opinion abt him and how abt is character 
73,0,oh oh    wasted    den muz chiong on sat n sun liao   
74,0,are you at work right now  
75,0,bring home some wendy  d
76,0,ok going to sleep  hope i can meet her 
77,0,allo  we have braved the buses and taken on the trains and triumphed  i mean we€˜re in b€˜ham  have a jolly good rest of week
78,0,hmmm  how many players selected 
79,0,you flippin out yet 
80,0,your board is working fine  the issue of overheating is also reslove  but still software inst is pending  i will come around 8 o clock 
